CATEGORIA;CLASE;SUBCATEGORIA;SUBCATEGORIA2;TIPO DOCUMENTO;LECTURA;ESCRITURA;
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);MATRIZ DPTOS;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);MATRIZ EECC;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);MATRIZ TÉCNICA;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);MATRIZ COMPLEMENTARIA;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ARQUITECTURA Y LISTADO DE PLANOS Y DOC;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);DETALLES;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;CÁLCULO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;ELECTRICO ALUMBRADO-FUERZA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;ELECTRICO CD-SEGURIDAD;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;ELECTRICO TELECOM;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;SANITARIO AGUA POTABLE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN OBRA (ARQ 8);ESPECIALIDADES;SANITARIO ALCANTARILLADO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
